Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
258,X1R003,Vygeboom Dam ,Vygeboom,25.88233,30.61909,M,5,Komati River @ Vygeboom Dam,3127,78.02,,59.298999999999999,60.179000000000002,60.12,59.533000000000001,,,56.991,57.048000000000002,,55.628999999999998,54.61,53.491,52.606000000000002,51.295000000000002,52.441000000000003,53.546999999999997,77.5,76,77.099999999999994,77.099999999999994,76.3,,,73,73.099999999999994,,71.3,70,68.599999999999994,67.400000000000006,65.7,67.2,68.599999999999994,100.9
259,X1R004,Driekoppies Dam ,Driekoppies,25.712520000000001,31.530149999999999,M,5,Lomati River @ Driekoppies Dam,902,250.92,,152.76,,147.16,143.28,,,128.97,126.56,,,117.7,114.73,111.93,109.74,111.81,111.81,62.3,60.9,,58.6,57.1,,,51.4,50.4,,,46.9,45.7,44.6,43.7,44.6,44.6,92.2
260,X1R005,Maguga Dam,Maguga,,,S,5,,,333.75,,144.30000000000001,,144.66,141.33000000000001,,,121.12,117.01,,118.47,114.32,109.48,103.45,98.8,103.8,103.8,45,43.2,,43.3,42.3,,,36.299999999999997,35.1,,35.5,34.299999999999997,32.799999999999997,31,29.6,31.1,31.1,95
261,X2R001,Longmere Dam ,Longmere,25.279630000000001,31.001000000000001,M,5,Wit River @ Longmere Dam,106,4.202,,2.806,,3,2.848,,,2.971,2.365,,3.045,2.862,2.563,2.715,2.537,2.784,2.905,72.099999999999994,66.8,,71.400000000000006,67.8,,,70.7,56.3,,72.5,68.099999999999994,61,64.599999999999994,60.4,66.3,69.099999999999994,95.7
262,X2R002,Klipkopjes Dam ,Klipkopjes,25.22026,31.007470000000001,M,5,Wit River @ Klipkopjes Dam,76,11.776999999999999,,7.576,,7.297,7.403,,,6.719,6.617,,5.918,5.918,5.918,5.425,5.379,5.304,5.334,64.400000000000006,64.3,,62,62.9,,,57.1,56.2,,50.3,50.3,50.3,46.1,45.7,45,45.3,99.9
263,X2R003,Witklip Dam ,Witklip,25.23649,30.89967,M,5,Sand River @ Witklip Dam,64,12.519,,5.847,5.796,6.016,6.285,,,,5.859,,5.72,5.583,5.438,5.114,4.926,5.147,5.695,47.9,46.7,46.3,48.1,50.2,,,,46.8,,45.7,44.6,43.4,40.799999999999997,39.299999999999997,41.1,45.5,96.2
264,X2R004,Primkop Dam ,Primkop,25.385439999999999,31.070989999999998,M,5,Wit River @ Primkop Dam,262,1.899,,0.356,,0.419,0.478,,,0.412,0.544,,0.371,0.335,0.279,0.281,0.278,0.525,1.111,20.7,18.8,,22.1,25.2,,,21.7,28.6,,19.5,17.600000000000001,14.7,14.8,14.6,27.7,58.5,91
265,X2R005,Kwena Dam ,Kwena,25.360140000000001,30.386690000000002,M,5,Krokodil River @ Kwena Dam,954,158.88999999999999,,98.994,95.763000000000005,95.409000000000006,97.28,,,94.087999999999994,91.828000000000003,,86.835999999999999,84.777000000000001,82.191000000000003,78.876999999999995,76.644000000000005,75.959999999999994,78.025000000000006,64.7,62.3,60.3,60,61.2,,,59.2,57.8,,54.6,53.4,51.7,49.6,48.2,47.8,49.1,100.6
266,X3R001,Da Gama Dam,Da Gama,25.141850000000002,31.02074,M,5,White Waters River @ Da Gama Dam,61,13.526,,8.115,8.066000000000001,8.260999999999999,8.507999999999999,,,8.459,8.212,,8.31,8.066000000000001,8.066000000000001,7.826,7.826,7.97,8.31,55.4,60,59.6,61.1,62.9,,,62.5,60.7,,61.4,59.6,59.6,57.9,57.9,58.9,61.4,94.8
267,X3R002,Inyaka Dam ,Inyaka,24.884969999999999,31.084720000000001,M,5,Marite River @ Inyaka Dam,211,123.66,,92.82,90.932000000000002,90.531000000000006,90.263999999999996,,,87.296000000000006,85.867000000000004,,84.007000000000005,82.802999999999997,81.736999999999995,79.569000000000003,78.468000000000004,79.569000000000003,82.677000000000007,76.7,75.099999999999994,73.5,73.2,73,,,70.599999999999994,69.400000000000006,,67.900000000000006,67,66.099999999999994,64.3,63.5,64.3,66.900000000000006,100.1
